- парфен ? да уж это не тех ли самых рогожиных ... - начал было с усиленною важностью чиновник . ||| “ 帕 尔 芬 ？ 这 不 就 是 那 一 家 罗 戈 任 … … ” 小 公 务 员 特 别 傲 慢 地 说 。
ли сюэлянь снова резко оттолкнула лао ху : — сначала с ним расправимся , а потом сделаем свои дела . ||| 李 雪 莲 又 一 把 推 开 他 ： “ 先 打 人 ， 后 办 事 。 ”
именно в этот момент ли сюэлянь прицепилась к сюнь чжэнъи : — судья сюнь , вы должны мне помочь . ||| 正 在 这 时 ， 李 雪 莲 上 前 一 把 扯 住 了 荀 正 义 ： “ 荀 院 长 ， 你 要 替 我 做 主 呀 。 ”
— я не боюсь , дело тут совсем не в этом , и доводы у меня свои имеются . я , несмотря на свои обиды , могу и не жаловаться , но писать расписку я не стану . в таком случае я вроде как останусь виноватой . и ладно бы речь шла о каком-то минутном промахе , а так окажется , что все двадцать лет я была неправа . ||| 李 雪 莲 ： “ 不 是 不 敢 ， 事 儿 不 是 这 么 个 事 儿 ， 理 儿 也 不 是 这 么 个 理 儿 ； 我 有 冤 可 以 不 申 ， 但 不 能 给 你 写 保 证 书 ； 一 写 保 证 书 ， 好 像 是 我 错 了 ； 一 时 错 还 没 啥 ， 不 是 二 十 年 全 都 错 了 ？ ”
— ты же не можешь сказать , что у тебя все хорошо ? ||| 贾 聪 明 ： “ 你 总 不 能 说 你 没 有 难 处 。
возможно , раньше я бы тебя и послушала , но в этом году все иначе , пусть я даже умру , но жалобу подам . ||| 也 许 往 年 劝 我 ， 我 会 听 你 的 话 ， 今 年 这 状 ， 和 往 年 不 同 ， 我 宁 死 也 要 告 。 ”
гм ! .. не вышло бы анекдота какого-нибудь ! - заключил генерал задумчиво . ||| 嗯 ！ … … 那 就 不 是 什 么 轶 事 了 ！ ” 将 军 若 有 所 恩 地 结 束 道 。
долго не думая , она бросила свой деревенский домик и вдруг явилась в петербург , прямо к тоцкому , одна-одинехонька . ||| 她 未 多 加 考 虑 ， 就 抛 弃 了 自 己 的 乡 村 小 屋 ， 突 然 只 身 来 到 彼 得 堡 ， 径 直 去 找 托 茨 基 。
к большому и ( таково сердце человека ! ) к несколько неприятному своему изумлению , он вдруг , по одному случаю , убедился , что если бы даже он и сделал предложение , то его бы не приняли . ||| 因 为 一 个 偶 然 的 情 况 ， 他 忽 然 确 信 ， 即 使 他 提 出 求 婚 ， 她 也 不 会 接 受 他 的 。
когда давеча генерал захотел посмотреть , как я пишу , чтоб определить меня к месту , то я написал несколько фраз разными шрифтами , и между прочим '' игумен пафнутий руку приложил `` собственным почерком игумена пафнутия . ||| 刚 才 将 军 想 看 我 字 写 得 怎 么 样 ， 以 便 为 我 找 个 差 使 ， 我 就 用 各 种 不 同 的 字 体 写 了 几 个 句 子 ， 顺 便 就 用 帕 夫 努 季 修 道 院 长 本 人 的 字 体 写 了 ‘ 帕 夫 努 季 修 道 院 长 敬 呈 ' 。
а все-таки как-то не верится ... ||| 可 终 究 不 知 怎 么 的 不 太 相 信 … … ”
и это в таком деле , в котором требуется наиболее откровенности , ясности , честности . ||| 而 这 还 是 在 最 需 要 坦 诚 ， 明 朗 ， 诚 实 的 事 情 上 。
тем временем памятник установили , но государь до столбенца так и не добрался , ученый же спор через несколько лет утратил смысл из-за нагрянувших событий . ||| 正 在 此 时 ， 纪 念 像 落 成 ， 不 过 皇 上 并 未 在 临 斯 托 尔 别 涅 兹 ， 学 术 争 论 若 干 年 后 也 因 一 些 突 如 其 来 的 事 故 而 失 去 了 意 义 。
изнутри она была тоже оклеена разноцветными фантиками , они заменяли обычные картинки провинциальных сундучков . ||| 箱 盖 里 面 也 糊 着 花 花 绿 绿 的 糖 果 纸 。
каждому месту может быть достаточен свой гений , увенчанный местным лавром . ||| 也 许 每 个 职 位 对 被 戴 上 本 地 桂 冠 的 自 己 的 天 才 均 己 足 够 。
беломраморная ручка с отогнутым пальцем поднялась над засохшей кучей ||| 一 根 手 指 舒 开 的 白 色 大 理 石 手 臂 升 起 在 干 枯 的 草 堆 上
или зажмурься , ослепни , тресни , или отражай , черт возьми , что показывают . ||| 或 是 眯 缝 起 眼 睛 ， 失 去 神 智 ， 彻 底 垮 台 ， 或 是 反 击 ， 天 晓 得 他 们 会 给 什 么 厉 害 看 。
а , только лицо и номер кабинета ? ||| 只 有 人 和 办 公 室 号 码 ？
и здорового залечат ! ||| 把 好 好 的 人 也 能 治 坏 了 。 ”
согнувшись и сгорбясь на стрелке , с курского вокзала выскакивает « первый – к » , прокладывая путь на тифлис . ||| 从 库 尔 斯 克 车 站 发 出 的 “ 库 一 1 次 ” 列 车 弯 腰 躬 背 爬 过 岔 道 ， 向 梯 弗 里 斯 进 发 。
к тому же нужно было иметь хотя бы десять рублей для представительства и обольщения . ||| 同 时 起 码 要 有 十 卢 布 的 资 本 作 为 诱 饵 。
а теперь он прогорал па лучшем своем коммерческом предприятии , от которого ждал больших барышей и обеспеченной старости . ||| 可 如 今 ， 他 竟 在 自 己 这 门 最 最 得 意 的 、 本 指 望 牟 取 暴 利 以 保 年 老 无 虞 的 行 当 上 栽 了 跟 头 。
– я бы хотел зайти к елене станиславовне , – нерешительно сказал воробьянинов . ||| “ 我 倒 是 想 去 看 看 叶 连 娜 · 斯 坦 尼 斯 拉 沃 夫 娜 ， ” 沃 洛 比 亚 尼 诺 夫 犹 犹 豫 豫 地 说 。
третий раз , с полтиной . ||| 第 三 次 ， 加 半 个 卢 布 ， 正 中 。 ”
аукционист поднял скучающее лицо и посмотрел на остапа . ||| 拍 卖 师 抬 起 他 那 张 刻 板 的 面 孔 看 了 奥 斯 塔 普 一 眼 。
. рогатки . ||| 二 、 可 移 动 障 碍 物 。
невежды , упрямцы и первичные посетители входили в дом народов с главного подъезда . ||| 一 些 外 行 和 任 性 的 人 ， 以 及 初 来 乍 到 者 都 从 正 门 进 入 民 族 宫 。
– в чем дело ? – сказал ляпис . ||| “ 是 这 么 回 事 ， ” 里 亚 皮 斯 说 。
если у вас случится хорошая кормушка , сразу три стишка в « гермуму » , то выход из положения у вас блестящий . ||| 如 果 您 有 捞 钱 的 好 机 会 ， 一 下 子 可 以 投 给 《 格 拉 西 姆 与 木 木 》 三 首 诗 ， 您 可 就 大 有 出 息 了 。
симбиевич-синдиевич , в заботах о вещественном оформлении , простирал руки то к кремлевским высотам , то к капитану , стоявшему на мостике . ||| 西 姆 比 耶 维 奇 - 辛 基 耶 维 奇 十 分 关 心 他 的 实 物 布 景 ， 时 而 冲 着 克 里 姆 林 高 地 ， 时 而 冲 着 站 在 舰 桥 上 的 船 长 双 手 比 比 划 划 。
великий комбинатор был прав , как всегда . ||| 伟 大 谋 士 一 贯 正 确 。
